,SEC_INT,P1,P2$01,P4,DEPTO_MUNI,P7_NO_PERNOC,P7_SI_PERNOC,P9_#EXCURSION,DEP_MUN_LUG,P11_MOTIVO_EXCURSION,P13_GASTO_EXCURSION,P14_#PER_EXCURSION,P16_#EXCUR_CONPERNOC,SUMA_PUNTOS,EDAD,PROFESION,OCUPACION,GENERO,VIA_VIAJE,P18_#NOCHES1,P19_#PERSON1,P20_MOTIVO_1,P21_ALOJ_1,P22_PER_GAS_1,P24_VIAJE_ORG,P26_TRASPORTE,P27_DG_SUMA,P17_DESTINO1
19,27010024,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,6.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,9,23,AMA DE CASA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
21,27010024,Si,Día de los santos (año 2017),"Sí, es de su propiedad",ESCUINTLA_ITZATAPA,20.0,2.0,5.0,CHIQUMULA_ESQUIPULAS_BASILICA DE ESQUIPULAS,"Ocio, recreo y/o vacaciones",1000.0,3.0,1.0,16,23,PERITO MERCADOLOGO,COMERCIANTE,Masculino,Sí,1.0,3.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,3.0,No organizó,Vehículo,600.0,IZABAL_PUETO BARRIOS_RIO DULCE
22,27010024,Si,Día de los santos (año 2017),"Sí, es de su propiedad",ESCUINTLA_ITZATAPA,20.0,2.0,5.0,CHIQUMULA_ESQUIPULAS_BASILICA DE ESQUIPULAS,"Ocio, recreo y/o vacaciones",1000.0,3.0,1.0,16,23,PERITO MERCADOLOGO,COMERCIANTE,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
24,27010024,Si,Carnaval,No dispone de segunda vivienda,NINGUNO,3.0,2.0,3.0,ESCUINTLA_ESCUINTLA_BANEARIO AGUA DE ZARZA,"Ocio, recreo y/o vacaciones",350.0,2.0,1.0,11,54,MECANICO AUTOMOTRIS,MECANICO AUTOMOTRIZ,Masculino,Sí,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Reserva individual,Bus regional,1350.0,SANTA ROSA_CHIQUIMULILLA_MONTERRICO
25,27010024,Si,Carnaval,No dispone de segunda vivienda,NINGUNO,3.0,2.0,3.0,ESCUINTLA_ESCUINTLA_BANEARIO AGUA DE ZARZA,"Ocio, recreo y/o vacaciones",350.0,2.0,1.0,11,54,MECANICO AUTOMOTRIS,MECANICO AUTOMOTRIZ,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
27,28060051,Si,Día de Esquipulas,No dispone de segunda vivienda,NINGUNO,3.0,3.0,9.0,ESCUINTLA_SAN JOSE_NAUTILOS,"Ocio, recreo y/o vacaciones",500.0,5.0,5.0,18,24,PUBLICISTA,PRODUICTOR DE AURDIOVISUAL,Masculino,Sí,2.0,5.0,"Ocio, recreo y/o vacaciones",Hotel o similares,5.0,Reserva individual,Vehículo,4700.0,RETALHULEU_RETALHULEU_IRTRA
28,28060051,Si,Día de Esquipulas,No dispone de segunda vivienda,NINGUNO,3.0,8.0,9.0,ESCUINTLA_SAN JOSE_NAUTILOS,"Ocio, recreo y/o vacaciones",500.0,5.0,5.0,18,24,PUBLICISTA,PRODUICTOR DE AURDIOVISUAL,Masculino,Sí,3.0,5.0,"Ocio, recreo y/o vacaciones",Hotel o similares,5.0,Reserva individual,Vehículo,4700.0,ESCUINTLA_SAN JOSE_PUERTO DE SAN JOSE
29,28060051,Si,Día de Esquipulas,No dispone de segunda vivienda,NINGUNO,3.0,8.0,9.0,ESCUINTLA_SAN JOSE_NAUTILOS,"Ocio, recreo y/o vacaciones",500.0,5.0,5.0,18,24,PUBLICISTA,PRODUICTOR DE AURDIOVISUAL,Masculino,Sí,3.0,5.0,"Ocio, recreo y/o vacaciones",Hotel o similares,5.0,Reserva individual,Vehículo,4400.0,ESCUINTLA_SAN JOSE_PUERTO DE SAN JOSE
30,28060051,Si,Día de trabajo,"Sí, es de familiares o amigos",SANTA ROSA_CHIQUIMULA,3.0,1.0,21.0,ESCUINTLA_SAN JOSE_PUERTO SAN JOSE,"Ocio, recreo y/o vacaciones",500.0,1.0,1.0,11,38,BACHILLER,MONITOR DE LITERATURA INFANIL,Femenino,Sí,2.0,7.0,"Ocio, recreo y/o vacaciones",Hotel o similares,7.0,Por su cuenta,Vehículo,2800.0,JALAPA_SP. PINULA_BALNARAIO FIDEL GASTRO
31,28060051,Si,Día de trabajo,"Sí, es de familiares o amigos",SANTA ROSA_CHIQUIMULA,3.0,1.0,21.0,ESCUINTLA_SAN JOSE_PUERTO SAN JOSE,"Ocio, recreo y/o vacaciones",500.0,1.0,1.0,11,38,BACHILLER,MONITOR DE LITERATURA INFANIL,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
33,25010051,Si,Noche buena (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,3.0,1.0,GUATEMALA_VILLA NUEVA_VILLA NUEVA,Visita a familiares y amigos,10.0,1.0,1.0,6,82,AMA DE CASA,AMA DE CASA,Femenino,Sí,4.0,1.0,Visita a familiares y/o amigos,Casa de amigos o familiares,1.0,Por su cuenta,Bus turístico,60.0,SANTA ROSA_SANTA ROSA_SANTA MARIA IXTAGUACAN
34,25010051,Si,Noche buena (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,7.0,1.0,GUATEMALA_VILLA NUEVA_VILLA NUEVA,Visita a familiares y amigos,10.0,1.0,1.0,6,82,AMA DE CASA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
36,25010051,Si,Día de la revolución (20 Octubre),No dispone de segunda vivienda,NINGUNO,3.0,6.0,3.0,GUATEMALA_SAN JOSE DEL GOLFO_SAN JOSE DEL GOLFO,Estudios a corto plazo,5.0,1.0,2.0,9,34,PERITO CONTADOR,AMA DE CASA,Femenino,Sí,2.0,5.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,5.0,Por su cuenta,Vehículo,900.0,SANTA ROSA_CASILLAS_EL SALITRE  GRANDE
37,25010051,Si,Día de la revolución (20 Octubre),No dispone de segunda vivienda,NINGUNO,3.0,7.0,3.0,GUATEMALA_SAN JOSE DEL GOLFO_SAN JOSE DEL GOLFO,Estudios a corto plazo,5.0,1.0,2.0,9,34,PERITO CONTADOR,AMA DE CASA,Femenino,Sí,2.0,5.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,5.0,No organizó,Vehículo,900.0,SANTA ROSA_CASILLAS_ALDEA EL SALITRE GRANDE
38,25010051,Si,Día de la revolución (20 Octubre),No dispone de segunda vivienda,NINGUNO,3.0,10.0,3.0,GUATEMALA_SAN JOSE DEL GOLFO_SAN JOSE DEL GOLFO,Estudios a corto plazo,5.0,1.0,2.0,9,34,PERITO CONTADOR,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
39,25010051,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,2.0,5.0,SACATEPEQUEZ_ANTIGUA_CIUDAD VIEJA,Otros,200.0,5.0,1.0,11,38,AMA DE CASA,AMA DE CASA,Masculino,Sí,1.0,8.0,Religión y peregrinación,Hotel o similares,8.0,Por su cuenta,Vehículo,850.0,CHIQUIMULA_ESQUIPULAS_IGLESIA
40,25010051,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,12.0,5.0,SACATEPEQUEZ_ANTIGUA_CIUDAD VIEJA,Otros,200.0,5.0,1.0,11,38,AMA DE CASA,AMA DE CASA,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
42,25010051,Si,Día de los santos (año 2017),"Sí, es de familiares o amigos",QUETZALTENANGO_QUETZALTENANGO,3.0,3.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,10.0,12,18,ESTUDIANTE,ESTUDIANTE,Femenino,Sí,2.0,1.0,"Ocio, recreo y/o vacaciones",Otros,52.0,Paquete turístico,Bus turístico,50.0,PETEN_FLORES_TIKAL
43,25010051,Si,Día de los santos (año 2017),"Sí, es de familiares o amigos",QUETZALTENANGO_QUETZALTENANGO,3.0,3.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,10.0,12,18,ESTUDIANTE,ESTUDIANTE,Femenino,Sí,3.0,3.0,Visita a familiares y/o amigos,Casa de amigos o familiares,3.0,Por su cuenta,Bus regional,386.0,SANTA ROSA_GUAZACAPAN_GUAZACAPAN
44,25010051,Si,Día de los santos (año 2017),"Sí, es de familiares o amigos",QUETZALTENANGO_QUETZALTENANGO,3.0,3.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,10.0,12,18,ESTUDIANTE,ESTUDIANTE,Femenino,Sí,6.0,3.0,Visita a familiares y/o amigos,Casa de amigos o familiares,3.0,No organizó,Bus regional,800.0,EL PROGRESO_GUASTATOYA_GUASTATOYA
45,26010012,Si,Noche buena (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,12.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,17,47,LICDA EN MERCADEO,PUBLICISTA,Masculino,Sí,2.0,6.0,"Ocio, recreo y/o vacaciones",Vivienda en propiedad,6.0,Por su cuenta,Vehículo,6400.0,SOLOLA_PANAJACHEL_LAGO ATITLAN
46,26010012,Si,Noche buena (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,6.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,17,47,LICDA EN MERCADEO,PUBLICISTA,Masculino,Sí,2.0,6.0,"Ocio, recreo y/o vacaciones",Vivienda en propiedad,6.0,Por su cuenta,Vehículo,6400.0,IZABAL_LIVISNGSTON_RIO DULCE
47,26010012,Si,Noche buena (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,6.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,17,47,LICDA EN MERCADEO,PUBLICISTA,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
48,26010012,Si,Día de trabajo,"Sí, es de familiares o amigos",JALAPA_MATAQUESCUINTLA,3.0,1.0,1.0,RETALHULEU_SANTA CRUZ MULUA_PARQUE DE IRTRA XETULUL Y XOCOMIL,"Ocio, recreo y/o vacaciones",600.0,3.0,2.0,13,29,SECRETERIA OFICINISTA,AMA DE CASA,Femenino,Sí,1.0,3.0,Religión y peregrinación,Hotel o similares,3.0,Por su cuenta,Bus regional,1180.0,CHIQUIMULA_ESQUIPULAS_CENTRO HISTORICO
49,26010012,Si,Día de trabajo,"Sí, es de familiares o amigos",JALAPA_MATAQUESCUINTLA,3.0,1.0,1.0,RETALHULEU_SANTA CRUZ MULUA_PARQUE DE IRTRA XETULUL Y XOCOMIL,"Ocio, recreo y/o vacaciones",600.0,3.0,2.0,13,29,SECRETERIA OFICINISTA,AMA DE CASA,Femenino,Sí,1.0,3.0,Visita a familiares y/o amigos,Casa de amigos o familiares,3.0,Por su cuenta,Bus regional,290.0,JALAPA_MATASQUESCUINTLA_VISITA FAMILIAR
50,26010012,Si,Día de trabajo,"Sí, es de familiares o amigos",JALAPA_MATAQUESCUINTLA,3.0,1.0,1.0,RETALHULEU_SANTA CRUZ MULUA_PARQUE DE IRTRA XETULUL Y XOCOMIL,"Ocio, recreo y/o vacaciones",600.0,3.0,2.0,13,29,SECRETERIA OFICINISTA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
51,26010012,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,12.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,4,18,PERITO CONTADOR,DESEMPLEADO,Femenino,Sí,1.0,7.0,Religión y peregrinación,Hotel o similares,7.0,Por su cuenta,Vehículo,1080.0,CHIQUIMULA_ESQUIPULAS_BASILICA
52,26010012,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,10.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,4,18,PERITO CONTADOR,DESEMPLEADO,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
54,26010012,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,5.0,1.0,QUETZLATENANGO_QUETZALTENANGO_CABECERA DEPARTAMENTAL CENTRO CIUDAD,Religión y peregrinación,500.0,5.0,1.0,17,21,BACHILLER EN COMPUTACION,NO RESPONDE,Femenino,Sí,2.0,1.0,"Ocio, recreo y/o vacaciones",Otros,18.0,Paquete turístico,Otros,0.0,SOLOLA_SAN JUAN LA LAGUNA_CAMPAMENTO BETHEL
55,26010012,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,7.0,1.0,QUETZLATENANGO_QUETZALTENANGO_CABECERA DEPARTAMENTAL CENTRO CIUDAD,Religión y peregrinación,500.0,5.0,1.0,17,21,BACHILLER EN COMPUTACION,NO RESPONDE,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
57,26010012,Si,Día de Esquipulas,No dispone de segunda vivienda,NINGUNO,3.0,5.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,10,70,MAESTRO,AMA DE CASA,Femenino,Sí,2.0,4.0,Religión y peregrinación,Hotel o similares,4.0,Por su cuenta,Bus regional,900.0,CHIQUIMULA_ESQUIPULAS_BASILICA
58,26010012,Si,Día de Esquipulas,No dispone de segunda vivienda,NINGUNO,3.0,4.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,10,70,MAESTRO,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
60,26010012,Si,Día de la revolución (20 Octubre),No dispone de segunda vivienda,NINGUNO,3.0,1.0,6.0,"SACATEPEQUEZ_ANTIUA GUATEMALA_CENTRO HISTORICO, IGLESIA","Ocio, recreo y/o vacaciones",400.0,2.0,2.0,12,34,BACHILLER,AMA DE CASA,Femenino,Sí,1.0,6.0,"Ocio, recreo y/o vacaciones",Hotel o similares,6.0,Por su cuenta,Vehículo,6110.0,RETALHULEU_SANTA CRUS MULHUA_IRTRA
61,26010012,Si,Día de la revolución (20 Octubre),No dispone de segunda vivienda,NINGUNO,3.0,2.0,6.0,"SACATEPEQUEZ_ANTIUA GUATEMALA_CENTRO HISTORICO, IGLESIA","Ocio, recreo y/o vacaciones",400.0,2.0,2.0,12,34,BACHILLER,AMA DE CASA,Femenino,Sí,1.0,5.0,"Ocio, recreo y/o vacaciones",Vivienda alquilada,74.0,Por su cuenta,Bus regional,3800.0,CHIQUIMULA_ESQUIPULAS_CENTRO HISTORICO
62,26010012,Si,Día de la revolución (20 Octubre),No dispone de segunda vivienda,NINGUNO,3.0,1.0,6.0,"SACATEPEQUEZ_ANTIUA GUATEMALA_CENTRO HISTORICO, IGLESIA","Ocio, recreo y/o vacaciones",400.0,2.0,2.0,12,34,BACHILLER,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
63,26010012,Si,Paseo / excursión,"Sí, es de familiares o amigos",SACATEPEQUEZ_SANTA LUCIA MILPAS ALTAS,1.0,1.0,1.0,SANTA ROSA_TAXISCO_MONTERRICO,"Ocio, recreo y/o vacaciones",800.0,3.0,2.0,5,48,COMERCIANTE,COMERCIANTE,Femenino,Sí,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Reserva individual,Bus turístico,3680.0,PETEN_POPTUM_POSAS DE POPTUM
64,26010012,Si,Paseo / excursión,"Sí, es de familiares o amigos",SACATEPEQUEZ_SANTA LUCIA MILPAS ALTAS,1.0,1.0,1.0,SANTA ROSA_TAXISCO_MONTERRICO,"Ocio, recreo y/o vacaciones",800.0,3.0,2.0,5,48,COMERCIANTE,COMERCIANTE,Femenino,Sí,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Reserva individual,Bus turístico,1250.0,CHIQUIMULA_ESQUIPULAS_BASILICA
65,26010012,Si,Paseo / excursión,"Sí, es de familiares o amigos",SACATEPEQUEZ_SANTA LUCIA MILPAS ALTAS,1.0,1.0,1.0,SANTA ROSA_TAXISCO_MONTERRICO,"Ocio, recreo y/o vacaciones",800.0,3.0,2.0,5,48,COMERCIANTE,COMERCIANTE,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
66,25030175,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,1.0,3.0,SACATEPEQUEZ_ANTIGUA GUATEMAL_ACENTRO HISTORICO,"Ocio, recreo y/o vacaciones",500.0,2.0,1.0,14,68,NIVEL MEDIO COMPLETO,JUBILIDAOD  DENTISATA,Masculino,Sí,1.0,1.0,"Ocio, recreo y/o vacaciones",Hotel o similares,1.0,Por su cuenta,Bus turístico,900.0,ALTA VERAPAZ_COBAN_POZA AZUL
67,25030175,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,10.0,3.0,SACATEPEQUEZ_ANTIGUA GUATEMAL_ACENTRO HISTORICO,"Ocio, recreo y/o vacaciones",500.0,2.0,1.0,14,68,NIVEL MEDIO COMPLETO,JUBILIDAOD  DENTISATA,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
69,25030175,Si,Día de los santos (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,4.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,3.0,8,55,CARPINTERO,CARPINTERO,Masculino,Sí,2.0,3.0,"Ocio, recreo y/o vacaciones",Hotel o similares,2.0,No organizó,Vehículo,3400.0,IZABAL_PUERTO BARRIOS_PUERTO
70,25030175,Si,Día de los santos (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,7.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,3.0,8,55,CARPINTERO,CARPINTERO,Masculino,Sí,2.0,4.0,"Ocio, recreo y/o vacaciones",Airbnb,4.0,Reserva individual,Vehículo,2300.0,ESCUINTLA_PUERTO SAN JOSE_PUERTO
71,25030175,Si,Día de los santos (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,12.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,3.0,8,55,CARPINTERO,CARPINTERO,Masculino,Sí,3.0,5.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,5.0,No organizó,Vehículo,1700.0,ALTA VERAPAZ_SAN JUAN CHAMELCO_CUEVAS DE REY SAN MARCOS
72,25030175,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,5.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,12,63,AMA DE CASA,AMA DE CASA,Femenino,Sí,1.0,9.0,"Ocio, recreo y/o vacaciones",Hotel o similares,9.0,Por su cuenta,Vehículo,2400.0,SANTA ROSA_TAXISCO_MONTERRICO
